Lab,Trial,Day,Group,ForagingTime,CauseOfDeath
W,5,13,15,39,
W,1,13,16,13,
W,2,13,16,22,
W,3,13,16,5,
W,4,13,16,27,
W,5,13,16,8,
M,1,14,1,11,
M,2,14,1,60,s
M,3,14,1,23,
M,4,14,1,,h
M,5,14,1,,g
M,1,14,2,7,
M,2,14,2,60,s
M,3,14,2,,h
M,1,14,3,60,s
M,2,14,3,60,s
M,3,14,3,11,
M,4,14,3,,h
M,5,14,3,12,
M,1,14,4,39,
M,2,14,4,60,s
M,4,14,4,60,s
M,5,14,4,,h
M,1,14,5,15,
M,2,14,5,59,
M,3,14,5,9,
M,4,14,5,60,s
M,5,14,5,,h
T,1,14,6,52,
T,2,14,6,20,
T,3,14,6,18,
T,4,14,6,,h
T,5,14,6,17,
T,1,14,7,51,
T,2,14,7,48,
T,1,14,8,23,
T,2,14,8,38,
T,3,14,8,23,
T,4,14,8,19,
T,5,14,8,17,
T,1,14,9,35,
T,2,14,9,18,
T,3,14,9,,h
T,4,14,9,,h
T,5,14,9,,h
W,1,14,10,11,
W,2,14,10,51,
W,3,14,10,13,
W,4,14,10,34,
W,5,14,10,35,
W,1,14,11,28,
W,2,14,11,47,
W,3,14,11,14,
W,4,14,11,36,
W,5,14,11,21,
W,1,14,12,9,
W,2,14,12,41,
W,3,14,12,22,
W,4,14,12,11,
W,5,14,12,60,s
W,1,14,13,32,
W,2,14,13,58,
W,3,14,13,8,
W,4,14,13,14,
W,5,14,13,18,
W,1,14,14,12,
W,2,14,14,60,s
W,1,14,15,12,
W,2,14,15,60,s
W,3,14,15,13,
W,4,14,15,,h
W,5,14,15,,g
W,1,14,16,11,
W,2,14,16,60,s
W,3,14,16,,h
W,4,14,16,18,
W,5,14,16,5,
M,1,15,1,52,
M,2,15,1,60,s
M,3,15,1,23,
M,4,15,1,23,
M,5,15,1,40,
M,1,15,2,55,
M,2,15,2,60,s
M,3,15,2,,h
M,1,15,3,60,s
M,2,15,3,60,s
M,3,15,3,,h
M,4,15,3,,h
M,5,15,3,,g
M,1,15,4,37,
M,2,15,4,45,
M,4,15,4,,h
M,5,15,4,33,
M,1,15,5,59,
M,2,15,5,60,s
M,3,15,5,,h
M,4,15,5,,h
M,5,15,5,27,
T,1,15,6,60,s
T,2,15,6,60,s
T,3,15,6,30,
T,4,15,6,32,
T,5,15,6,50,
T,1,15,7,58,
T,2,15,7,60,s
T,1,15,8,56,
T,2,15,8,36,
T,3,15,8,23,
T,4,15,8,17,
T,5,15,8,26,
T,1,15,9,60,s
T,2,15,9,60,s
T,3,15,9,24,
T,4,15,9,39,
T,5,15,9,43,
W,1,15,10,9,
W,2,15,10,60,s
W,3,15,10,24,
W,4,15,10,,h
W,5,15,10,,g
W,1,15,11,23,
W,2,15,11,29,
W,3,15,11,21,
W,4,15,11,23,
W,5,15,11,60,s
W,1,15,12,20,
W,2,15,12,44,
W,3,15,12,42,
W,4,15,12,60,s
W,5,15,12,13,
W,1,15,13,60,s
W,2,15,13,48,
W,3,15,13,22,
W,4,15,13,,h
W,5,15,13,36,
W,1,15,14,20,
W,2,15,14,60,s
W,1,15,15,15,
W,2,15,15,60,s
W,3,15,15,27,
W,4,15,15,30,
W,5,15,15,5,
W,1,15,16,7,
W,2,15,16,60,s
W,3,15,16,55,
W,4,15,16,10,
W,5,15,16,5,
M,1,16,1,60,s
M,2,16,1,60,s
M,3,16,1,17,
M,4,16,1,,h
M,5,16,1,60,s
M,1,16,2,45,
M,2,16,2,59,
M,3,16,2,31,
M,1,16,3,25,
M,2,16,3,36,
M,3,16,3,25,
M,4,16,3,16,
M,5,16,3,60,s
M,1,16,4,60,s
M,2,16,4,60,s
M,4,16,4,60,s
M,5,16,4,39,
M,1,16,5,49,
M,2,16,5,60,s
M,3,16,5,35,
M,4,16,5,32,
M,5,16,5,60,s
T,1,16,6,15,
T,2,16,6,60,s
T,3,16,6,,h
T,4,16,6,,h
T,5,16,6,60,s
T,1,16,7,57,
T,2,16,7,49,
T,1,16,8,60,s
T,2,16,8,27,
T,3,16,8,,h
T,4,16,8,60,s
T,5,16,8,46,
T,1,16,9,60,s
T,2,16,9,59,
T,3,16,9,,h
T,4,16,9,60,s
T,5,16,9,45,
W,1,16,10,15,
W,2,16,10,27,
W,3,16,10,38,
W,4,16,10,,h
W,5,16,10,6,
W,1,16,11,49,
W,2,16,11,60,s
W,3,16,11,17,
W,4,16,11,60,s
W,5,16,11,23,
W,1,16,12,60,s
W,2,16,12,60,s
W,3,16,12,24,
W,4,16,12,24,
W,5,16,12,48,
W,1,16,13,60,s
W,2,16,13,60,s
W,3,16,13,11,
W,4,16,13,22,
W,5,16,13,18,
W,1,16,14,58,
W,2,16,14,60,s
W,1,16,15,14,
W,2,16,15,60,s
W,3,16,15,,h
W,4,16,15,11,
W,5,16,15,,h
W,1,16,16,44,
W,2,16,16,60,s
W,3,16,16,23,
W,4,16,16,22,
W,5,16,16,,g
M,1,17,1,60,s
M,2,17,1,60,s
M,3,17,1,,h
M,4,17,1,,h
M,5,17,1,27,
M,1,17,2,45,
M,2,17,2,60,s
M,3,17,2,48,
M,1,17,3,31,
M,2,17,3,60,s
M,3,17,3,,h
M,4,17,3,44,
M,5,17,3,,h
M,1,17,4,16,
M,2,17,4,60,s
M,4,17,4,60,s
M,5,17,4,60,s
M,1,17,5,60,s
M,2,17,5,60,s
M,3,17,5,,h
M,4,17,5,,h
M,5,17,5,53,
T,1,17,6,44,
T,2,17,6,60,s
T,3,17,6,53,
T,4,17,6,,h
T,5,17,6,7,
T,1,17,7,60,s
T,2,17,7,32,
T,1,17,8,60,s
T,2,17,8,38,
T,3,17,8,19,
T,4,17,8,45,
T,5,17,8,,g
T,1,17,9,33,
T,2,17,9,60,s
T,3,17,9,,h
T,4,17,9,25,
T,5,17,9,24,
W,1,17,10,13,
W,2,17,10,60,s
W,3,17,10,,h
W,4,17,10,60,s
W,5,17,10,13,
W,1,17,11,60,s
W,2,17,11,60,s
W,3,17,11,,h
W,4,17,11,55,
W,5,17,11,,h
W,1,17,12,35,
W,2,17,12,60,s
W,3,17,12,25,
W,4,17,12,58,
W,5,17,12,,h
W,1,17,13,60,s
W,2,17,13,60,s
W,3,17,13,,h
W,4,17,13,40,
W,5,17,13,33,
